序号,原版 event,category,vibration_intensity,audio,audio_intensity,player_only,haptics.lua 行,重复定义数,源码字面引用数,原版原始逻辑/证据,目前实现的触发逻辑,正常交互保护,空间/player_only 逻辑,目前具体震动方式,保真度与限制
1,dontstarve/wilson/hungry,DANGER,1.0,False,1.0,True,5,1,6,"haptics.lua 第 5 行注册；触发证据：stategraphs/SGbunnyman.lua:51 inst.SoundEmitter:PlaySound(""dontstarve/wilson/hungry"")；stategraphs/SGcozy_bunnyman.lua:311 inst.SoundEmitter:PlaySound(""dontstarve/wilson/hungry"")；stategraphs/SGmerm.lua:190 inst.SoundEmitter:PlaySound(""dontstarve/wilson/hungry"")；另 3 处",本地 ThePlayer hungry 动画进入沿桥接；不依赖声音（原版 audio=false）,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,Hungry 原版 WAV RMS 包络（约 1.2 s 有效段）,高：本地语义准确；波形为原版 WAV 降采样
2,dontstarve/wilson/hit,DANGER,1.0,True,1.0,True,6,1,31,"haptics.lua 第 6 行注册；触发证据：stategraphs/SGhermitcrab.lua:1412 inst.SoundEmitter:PlaySound(""dontstarve/wilson/hit"")；stategraphs/SGhermitcrab.lua:3235 inst.SoundEmitter:PlaySound(""dontstarve/wilson/hit"")；stategraphs/SGhermitcrab.lua:3272 inst.SoundEmitter:PlaySound(""dontstarve/wilson/hit"")；另 28 处",客户端原声钩子 + player_classified 的 attacked 服务器脉冲；普通受击短暂延后，让特殊受击原声优先；锤击由成功动作桥接,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,危险/受击三段衰减包络,高但非逐分支完美：attacked 无 stimuli 字段；相邻帧可见的特殊受击声会抑制 generic hit
3,dontstarve/charlie/warn,DANGER,1.0,True,1.0,False,9,1,1,"haptics.lua 第 9 行注册；触发证据：prefabs/player_common.lua:2811 inst.components.grue:SetSounds(""dontstarve/charlie/warn"",""dontstarve/charlie/attack"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,DANGER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 7–34 单位；超距归零，可由 Spatial Reach 缩放,危险/受击三段衰减包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
4,dontstarve/charlie/attack,DANGER,1.5,True,1.0,False,10,1,1,"haptics.lua 第 10 行注册；触发证据：prefabs/player_common.lua:2811 inst.components.grue:SetSounds(""dontstarve/charlie/warn"",""dontstarve/charlie/attack"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,DANGER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 7–34 单位；超距归零，可由 Spatial Reach 缩放,危险/受击三段衰减包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
5,dontstarve/charlie/attack_low,DANGER,1.5,True,1.0,False,11,1,1,"haptics.lua 第 11 行注册；触发证据：stategraphs/SGstalker.lua:756 FrameEvent(300, function(inst) inst.SoundEmitter:PlaySound(""dontstarve/charlie/attack_low"") end),",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,DANGER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 7–34 单位；超距归零，可由 Spatial Reach 缩放,危险/受击三段衰减包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
6,dontstarve/winter/freeze_1st,DANGER,1.0,True,1.0,False,14,1,1,"haptics.lua 第 14 行注册；触发证据：widgets/iceover.lua:40 ""dontstarve/winter/freeze_1st"",",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,DANGER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 7–34 单位；超距归零，可由 Spatial Reach 缩放,Freeze overlay 原版 WAV RMS 包络（约 1.6 s）,高：客户端 Lua 原调用、参数与返回值不改变
7,dontstarve/winter/freeze_2nd,DANGER,1.0,True,1.0,False,15,1,1,"haptics.lua 第 15 行注册；触发证据：widgets/iceover.lua:41 ""dontstarve/winter/freeze_2nd"",",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,DANGER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 7–34 单位；超距归零，可由 Spatial Reach 缩放,Freeze overlay 原版 WAV RMS 包络（约 1.6 s）,高：客户端 Lua 原调用、参数与返回值不改变
8,dontstarve/winter/freeze_3rd,DANGER,1.0,True,1.0,False,16,1,1,"haptics.lua 第 16 行注册；触发证据：widgets/iceover.lua:42 ""dontstarve/winter/freeze_3rd"",",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,DANGER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 7–34 单位；超距归零，可由 Spatial Reach 缩放,Freeze overlay 原版 WAV RMS 包络（约 1.6 s）,高：客户端 Lua 原调用、参数与返回值不改变
9,dontstarve/winter/freeze_4th,DANGER,1.0,True,1.0,False,17,1,1,"haptics.lua 第 17 行注册；触发证据：widgets/iceover.lua:43 ""dontstarve/winter/freeze_4th"",",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,DANGER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 7–34 单位；超距归零，可由 Spatial Reach 缩放,Freeze overlay 原版 WAV RMS 包络（约 1.6 s）,高：客户端 Lua 原调用、参数与返回值不改变
10,dontstarve_DLC001/common/HUD_hot_level1,DANGER,1.0,True,1.0,False,18,1,1,"haptics.lua 第 18 行注册；触发证据：widgets/heatover.lua:49 ""dontstarve_DLC001/common/HUD_hot_level1"",",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,DANGER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 7–34 单位；超距归零，可由 Spatial Reach 缩放,Heatwave 原版 WAV RMS 包络（约 3.0 s）,高：客户端 Lua 原调用、参数与返回值不改变
